Bit Range,Bit Value,Number of Bits,Field Name,Field Value
1-20,'00000000000011100110,20,Type Approval Certificate #:,230
21-30,'1000111101,10,Serial Number:,573
31-40,'0011001001,10,Country code:,201 Albania
41,'1,1,Status of homing device:,"Beacon is equipped with at least one homing signal. If beacon has been activated, at least one homing device is functional and transmitting"
42,'0,1,Self-test function:,Self-test transmission
43,'0,1,User cancellation:,Normal beacon operation (transmitting a distress or self-test message)
44-66,'00110000110010110000110,23,Latitude:,48.79315 N
67-90,'001000101000000100011111,24,Longitude:,69.00876 E
91-93,'000,3,Vessel ID:,No aircraft or maritime identity
94-137,'00000000000000000000000000000000000000000000,44,Spare:,All 0 - OK
138-154,'11111111111111111,17,Spare:,OK
155-158 (Rotating field 1-4),'0001,4,Rotating Field Type:,(#1) Inflight Emergency
159-175 (Rotating field 5-21),'00001010001100100,17,Time of last encoded location,01:27:00 UTC
176-185 (Rotating field 22-31),'0000110011,10,Altitude of encoded location:,416 m
186-189 (Rotating field 32-35),'0001,4,Triggering event,Manual activation by the crew
190-191 (Rotating field 36-37),'10,2,GNSS status,3D location
192-193 (Rotating field 38-39),'10,2,Remaining battery capacity,>18 hours autonomy remaining
194-202 (Rotating field 40-48),'000000000,9,Spare,OK
,',0,Beacon 23 Hex ID:,99340039A3D000000000001
,',0,Number of BCH errors:,0
203-250,'100100111011100110111001111111100001001001111110,48,BCH,
,',0,Beacon message:,00039A3D32618658622811F000000000001FFFF10A32066340093B9B9FE127E
